P_Batt_in (W),,Cap_Loss_CH [p.u./HalfCycle],pu/dth
-14260.20386,0.396116774,7.56E-07,2.99E-07
-14292.37072,0.397010298,7.57E-07,3.01E-07
-14327.23038,0.397978622,7.58E-07,3.02E-07
-14362.08735,0.398946871,7.60E-07,3.03E-07
-14396.94163,0.399915045,7.61E-07,3.04E-07
-14429.09876,0.400808299,7.62E-07,3.05E-07
-14463.94787,0.40177633,7.64E-07,3.07E-07
-14498.7943,0.402744286,7.65E-07,3.08E-07
-14533.63803,0.403712168,7.66E-07,3.09E-07
-14565.78544,0.404605151,7.68E-07,3.11E-07
-14600.62401,0.405572889,7.69E-07,3.12E-07
-14635.4599,0.406540553,7.70E-07,3.13E-07
-14670.29311,0.407508142,7.72E-07,3.15E-07
-14702.4308,0.408400856,7.73E-07,3.16E-07
-14737.25884,0.409368301,7.74E-07,3.17E-07
-14772.08421,0.410335673,7.76E-07,3.18E-07
-14806.90689,0.411302969,7.77E-07,3.20E-07
-14839.03487,0.412195413,7.78E-07,3.21E-07
-14873.8524,0.413162567,7.80E-07,3.22E-07
-14908.66725,0.414129646,7.81E-07,3.23E-07
-14943.47942,0.415096651,7.83E-07,3.25E-07
-14975.5977,0.415988825,7.84E-07,3.26E-07
-15010.40472,0.416955687,7.85E-07,3.27E-07
-15045.20906,0.417922474,7.87E-07,3.29E-07
-15080.01073,0.418889187,7.88E-07,3.30E-07
-15112.11932,0.419781092,7.89E-07,3.31E-07
-15146.91584,0.420747662,7.91E-07,3.33E-07
-15181.70969,0.421714158,7.92E-07,3.34E-07
-15216.50086,0.422680579,7.94E-07,3.36E-07
-15248.59977,0.423572216,7.95E-07,3.37E-07
-15283.3858,0.424538494,7.97E-07,3.38E-07
-15318.16916,0.425504699,7.98E-07,3.40E-07
-15352.94984,0.426470829,7.99E-07,3.41E-07
-15385.03908,0.427362197,8.01E-07,3.42E-07
-15419.81463,0.428328184,8.02E-07,3.44E-07
-15454.58751,0.429294098,8.04E-07,3.45E-07
-15489.35772,0.430259937,8.05E-07,3.46E-07
-15521.4373,0.431151036,8.07E-07,3.48E-07
-15556.20238,0.432116733,8.08E-07,3.49E-07
-15590.96479,0.433082355,8.10E-07,3.51E-07
-15625.72453,0.434047904,8.11E-07,3.52E-07
-15657.79445,0.434938735,8.12E-07,3.53E-07
-15692.54907,0.435904141,8.14E-07,3.55E-07
-15727.30102,0.436869473,8.15E-07,3.56E-07
-15762.05031,0.437834731,8.17E-07,3.58E-07
-15794.11058,0.438725294,8.18E-07,3.59E-07
-15828.85475,0.43969041,8.20E-07,3.61E-07
-15863.59625,0.440655451,8.21E-07,3.62E-07
-15898.33509,0.441620419,8.23E-07,3.63E-07
-15930.38573,0.442510715,8.24E-07,3.65E-07
-15965.11945,0.44347554,8.26E-07,3.66E-07
-15999.85051,0.444440292,8.27E-07,3.68E-07
-16034.57892,0.44540497,8.29E-07,3.69E-07
-16066.61993,0.446294998,8.30E-07,3.70E-07
-16101.34322,0.447259534,8.32E-07,3.72E-07
-16136.06385,0.448223996,8.34E-07,3.74E-07
-16170.78182,0.449188384,8.35E-07,3.75E-07
-16202.81321,0.450078145,8.37E-07,3.77E-07
-16237.52608,0.451042391,8.38E-07,3.78E-07
-16272.23629,0.452006564,8.40E-07,3.80E-07
-16306.94384,0.452970662,8.41E-07,3.81E-07
-16338.96562,0.453860156,8.43E-07,3.83E-07
-16373.66807,0.454824113,8.44E-07,3.84E-07
-16408.36787,0.455787996,8.46E-07,3.86E-07
-16443.06501,0.456751806,8.48E-07,3.87E-07
-16475.07719,0.457641033,8.49E-07,3.89E-07
-16509.76924,0.458604701,8.51E-07,3.90E-07
-16544.45863,0.459568295,8.52E-07,3.92E-07
-16579.14538,0.460531816,8.54E-07,3.93E-07
-16611.14796,0.461420777,8.56E-07,3.95E-07
-16645.82961,0.462384156,8.57E-07,3.96E-07
-16680.50861,0.463347461,8.59E-07,3.98E-07
-16715.18496,0.464310693,8.61E-07,4.00E-07
-16747.17796,0.465199388,8.62E-07,4.01E-07
-16781.84922,0.466162478,8.64E-07,4.03E-07
-16816.51784,0.467125496,8.65E-07,4.04E-07
-16851.18381,0.468088439,8.67E-07,4.06E-07
-16883.16723,0.468976868,8.69E-07,4.08E-07
-16917.82812,0.46993967,8.70E-07,4.09E-07
-16952.48636,0.470902399,8.72E-07,4.11E-07
-16987.14196,0.471865054,8.74E-07,4.12E-07
-17019.11582,0.472753217,8.75E-07,4.14E-07
-17053.76633,0.473715731,8.77E-07,4.15E-07
-17088.41421,0.474678173,8.79E-07,4.17E-07
-17123.05945,0.47564054,8.81E-07,4.19E-07
-17155.02374,0.476528437,8.82E-07,4.20E-07
-17189.6639,0.477490664,8.84E-07,4.22E-07
-17224.30142,0.478452817,8.86E-07,4.24E-07
-17258.93631,0.479414898,8.87E-07,4.25E-07
-17290.89105,0.480302529,8.89E-07,4.27E-07
-17325.52086,0.481264468,8.91E-07,4.29E-07
-17360.14803,0.482226334,8.93E-07,4.31E-07
-17394.77257,0.483188127,8.94E-07,4.32E-07
-17426.71777,0.484075494,8.96E-07,4.34E-07
-17461.33724,0.485037146,8.98E-07,4.36E-07
-17495.95408,0.485998724,9.00E-07,4.37E-07
-17530.56828,0.48696023,9.01E-07,4.39E-07
